symbol,charge,model,a0,a1,a2,a3,correlation coefficient
Pb,0.000000,FOT,3.323300,-0.155960,-0.898780,1.083800,1.000000
Bi,0.000000,FOT,3.318800,-0.145540,-0.901980,1.068500,1.000000
Po,0.000000,FOT,3.320300,-0.139990,-0.893330,1.043800,1.000000
At,0.000000,FOT,3.342500,-0.153170,-0.833500,0.976410,1.000000
Rn,0.000000,FOT,3.377800,-0.178000,-0.743200,0.885100,1.000000
Fr,0.000000,FOT,3.419900,-0.208230,-0.640000,0.783540,0.999500
Ra,0.000000,FOT,3.475300,-0.250050,-0.506600,0.658360,0.999500
Ac,0.000000,FOT,3.490200,-0.251090,-0.496510,0.643400,0.999500
Th,0.000000,FOT,3.610600,-0.354090,-0.189260,0.368490,0.999500
Pa,0.000000,FOT,3.686300,-0.413290,-0.011920,0.208780,0.999500
U,0.000000,FOT,3.766500,-0.475420,0.168500,0.050600,0.999000
Np,0.000000,FOT,3.828700,-0.519550,0.298040,-0.065660,0.999000
Pu,0.000000,FOT,3.889700,-0.562960,0.425970,-0.180800,0.999000
Am,0.000000,FOT,3.950600,-0.605540,0.549670,-0.291120,0.998500
Cm,0.000000,FOT,4.014700,-0.650620,0.679220,-0.405880,0.998500
Bk,0.000000,FOT,4.077800,-0.694760,0.805470,-0.517290,0.998500
Cf,0.000000,FOT,4.142100,-0.739770,0.933420,-0.629810,0.998000
